,Title,Artist,Release,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
79,Epiphany,BTS,2018/8/24,0.509,0.558,2,-6.369,0,0.0276,0.29,0,0.131,0.327,135.879,7L8hkKW4hnemNfuOfEZcle,240362
80,Euphoria,BTS,2018/8/24,0.637,0.799,2,-4.519,1,0.0338,0.394,0,0.0921,0.562,104.995,3p6hnejEQYXkiTO1lAzVc0,228615
81,FAKE LOVE,BTS,2018/8/24,0.557,0.719,2,-4.515,0,0.0372,0.00267,0,0.306,0.344,77.501,5Sn2fm8aisVlR7S6u1KW57,242334
82,Go Go,BTS,2018/8/24,0.856,0.617,10,-5.308,0,0.0841,0.171,0,0.0857,0.759,136.082,1ok4gxOv8cg5WLjWK6TQhD,235780
83,I'm Fine,BTS,2018/8/24,0.51,0.842,11,-2.782,0,0.103,0.00852,0,0.346,0.302,87.605,0EQMrxdeiBhry9JCxskko3,240339
84,IDOL,BTS,2018/8/24,0.734,0.855,9,-3.211,1,0.118,0.00481,0,0.123,0.422,126.035,2AIWoHr9DF6y4KALCBKWQS,222732
85,Magic Shop,BTS,2018/8/24,0.541,0.661,1,-5.838,1,0.0889,0.103,0,0.0779,0.285,149.926,2tMBCYj22KxtmkAACIvvk4,275696
86,Serendipity (Full Length Edition),BTS,2018/8/24,0.347,0.578,8,-7.525,1,0.0626,0.445,0,0.231,0.226,86.73,5cQB9fbuQCz4muQUFkv3rR,276708
87,Singularity,BTS,2018/8/24,0.775,0.271,1,-9.131,0,0.092,0.554,0.00285,0.112,0.204,104.001,3gpU0uqDonMBKEcJu4Rzsf,196998
88,Tear,BTS,2018/8/24,0.711,0.903,6,-2.723,0,0.247,0.327,0,0.0887,0.467,140.015,6L1rxT6NUotot2AAiLXGLj,284981
89,Trivia 轉 : Seesaw,BTS,2018/8/24,0.707,0.791,5,-4.481,0,0.035,0.181,0,0.102,0.678,106.985,1ZPpGPko8oULTmi34rozMh,246334
90,IDOL,"BTS, Nichi Minaj",2018/8/24,0.709,0.857,9,-3.394,1,0.0881,0.00219,0,0.103,0.446,126.038,03iCbZaM4OkRR4We6wIzvx,260234
91,MIC Drop (Steve Aoki Remix) [Full Length Edition],"BTS, Steve Aoki",2018/8/24,0.606,0.848,11,-3.952,1,0.184,0.0114,1.06E-06,0.206,0.54,170.01,75scDPqGs75FotglJSoOI2,307676
92,The Truth Untold,"BTS, Steve Aoki",2018/8/24,0.57,0.422,1,-7.561,0,0.0422,0.372,0,0.127,0.169,113.007,4d5nIJDm92XcbBHVXxjpWI,242293
93,Waste It On Me (feat. BTS),"Steve Aoki, BTS",2018/10/25,0.669,0.684,7,-4.595,1,0.0585,0.252,0,0.72,0.466,96.097,2r1T6xGTVaNAqBoPH4lZEE,192537
94,Dionysus,BTS,2019/4/12,0.502,0.91,7,-2.769,1,0.107,0.04,0,0.319,0.588,176.084,6JdS5rJvJaRA7B1tcm7kxZ,249215
95,HOME,BTS,2019/4/12,0.633,0.799,7,-4.625,0,0.0429,0.0142,0,0.194,0.535,142.991,7lthOBXNue2IvedLRfkod8,234178
96,Jamais Vu,BTS,2019/4/12,0.608,0.47,8,-6.73,1,0.0428,0.226,0,0.0963,0.241,81,0eeeyCAGnGZInPtpkdYiPa,227275
97,Make It Right,BTS,2019/4/12,0.638,0.703,7,-7.874,1,0.444,0.0104,0,0.132,0.261,105.766,6KUE0HSSudAp9AOycaF6SH,226321
98,Mikrokosmos,BTS,2019/4/12,0.58,0.858,8,-5.212,1,0.114,0.125,0,0.0502,0.475,174.039,5hnbE5BF2e8BCk9OMR1UVC,224225
99,Boy With Luv (feat. Halsey),"BTS, Halsey",2019/4/12,0.645,0.862,11,-4.757,0,0.0965,0.0923,0,0.192,0.798,119.991,5KawlOMHjWeUjQtnuRs22c,229773
100,Dream Glow (BTS World Original Soundtrack) - Pt. 1,"BTS, Charli XCX",2019/6/7,0.735,0.74,0,-3.837,0,0.0519,0.0967,0,0.101,0.541,141.948,4c1WgUnHXq2LEncGHKgj1I,187458
101,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],"BTS, Zara Larsson",2019/6/14,0.804,0.498,8,-7.387,0,0.0571,0.339,0.000236,0.18,0.704,105.008,5XkyZyKMdFungjDb9cUKc3,205020
102,Heartbeat (BTS World Original Soundtrack),BTS,2019/6/28,0.437,0.716,5,-4.306,1,0.05,0.39,0,0.208,0.307,170.094,5EgYDyMDCi8X0zDydTF7Rb,253304
103,Lights,BTS,2019/7/3,0.625,0.663,5,-5.115,1,0.0302,0.112,0,0.105,0.398,98.998,44vXWYTcdrejrIQZEoHzl8,292773
104,Old Town Road (feat. RM of BTS) - Seoul Town Road Remix,"Lil Nas X, RM, BTS",2019/7/24,0.89,0.513,1,-5.996,1,0.154,0.0706,0,0.102,0.61,136.02,6woeVu3fVMflqen1t4N6pg,114133
105,Make It Right (feat. Lauv),"BTS, Lauv",2019/10/18,0.584,0.685,7,-7.811,1,0.425,0.0304,0,0.189,0.345,97.551,314ZkcV7oLWG8yWE7LABvH,226321
106,Black Swan,BTS,2020/1/17,0.719,0.758,2,-5.167,0,0.0851,0.137,0,0.129,0.49,147.023,24NuEDgyRIljwSyY0lsr7b,198261
107,00:00 (Zero O’Clock),BTS,2020/2/21,0.566,0.548,1,-6.456,1,0.0579,0.0802,0,0.11,0.196,157.999,2rk5DdEFF6wJ13Wrwm2sy6,250296
